e,name,label,type,x,y,zmin,zmax,zoom,code,link,source,display,admin,country,muni,street,nr,area,pop,
88,Winschoten,WINSCHOTEN,municipality,7.050307666,53.14209588,7,10,15,NL.GR.WT,winschoten,gadm,shape,3,nl,,,,4193,,
89,Winsum,WINSUM,municipality,6.515743679,53.32890069,7,10,15,NL.GR.WM,winsum,gadm,shape,3,nl,,,,17143,,
90,Zuidhorn,ZUIDHORN,municipality,6.382023811,53.27272017,7,10,15,NL.GR.ZU,zuidhorn,gadm,shape,3,nl,,,,21527,,
91,Ambt Montfort,AMBT MONTFORT,municipality,5.997399502,51.13658443,7,10,15,NL.LI.AM,ambt-montfort,gadm,shape,3,nl,,,,7007,,
92,Arcen en Velden,ARCEN EN VELDEN,municipality,6.196444303,51.44939347,7,10,15,NL.LI.AV,arcen-en-velden,gadm,shape,3,nl,,,,6287,,
93,Beek,BEEK,municipality,5.817592832,50.932891,7,10,15,NL.LI.BK,beek,gadm,shape,3,nl,,,,3340,,
94,Beesel,BEESEL,municipality,6.075251155,51.2714506,7,10,15,NL.LI.BS,beesel,gadm,shape,3,nl,,,,4330,,
96,Brunssum,BRUNSSUM,municipality,5.980615274,50.9448056,7,10,15,NL.LI.BR,brunssum,gadm,shape,3,nl,,,,2240,,
97,Echt-Susteren,ECHT-SUSTEREN,municipality,5.917170163,51.08594325,7,10,15,NL.LI.EC,echt-susteren,gadm,shape,3,nl,,,,17323,,
98,Eijsden,EIJSDEN,municipality,5.726368072,50.78886479,7,10,15,NL.LI.EI,eijsden,gadm,shape,3,nl,,,,3127,,
99,Gennep,GENNEP,municipality,5.994355408,51.70017881,7,10,15,NL.LI.GE,gennep,gadm,shape,3,nl,,,,7872,,
100,Gulpen-Wittem,GULPEN-WITTEM,municipality,5.908052124,50.80480365,7,10,15,NL.LI.GW,gulpen-wittem,gadm,shape,3,nl,,,,11364,,
101,Haelen,HAELEN,municipality,5.955547203,51.23216791,7,10,15,NL.LI.HA,haelen,gadm,shape,3,nl,,,,4656,,
102,Heel,HEEL,municipality,5.903266458,51.18674976,7,10,15,NL.LI.HL,heel,gadm,shape,3,nl,,,,4060,,
103,Heerlen,HEERLEN,municipality,5.977229718,50.8975005,7,10,15,NL.LI.HR,heerlen,gadm,shape,3,nl,,,,7028,,
104,Helden,HELDEN,municipality,5.97504704,51.33829511,7,10,15,NL.LI.HD,helden,gadm,shape,3,nl,,,,11086,,
105,Heythuysen,HEYTHUYSEN,municipality,5.871050919,51.24631574,7,10,15,NL.LI.HT,heythuysen,gadm,shape,3,nl,,,,9392,,
106,Horst aan de Maas,HORST AAN DE MAAS,municipality,6.059166986,51.45339022,7,10,15,NL.LI.HM,horst-aan-de-maas,gadm,shape,3,nl,,,,19682,,
107,Hunsel,HUNSEL,municipality,5.803402312,51.19469144,7,10,15,NL.LI.HU,hunsel,gadm,shape,3,nl,,,,5383,,
108,Kerkrade,KERKRADE,municipality,6.054921462,50.87132892,7,10,15,NL.LI.KR,kerkrade,gadm,shape,3,nl,,,,3067,,
109,Kessel,KESSEL,municipality,6.050549341,51.29801469,7,10,15,NL.LI.KS,kessel,gadm,shape,3,nl,,,,3523,,
110,Landgraaf,LANDGRAAF,municipality,6.037280168,50.90588061,7,10,15,NL.LI.LA,landgraaf,gadm,shape,3,nl,,,,3283,,
111,Maasbracht,MAASBRACHT,municipality,5.885100483,51.13923073,7,10,15,NL.LI.MT,maasbracht,gadm,shape,3,nl,,,,4400,,
112,Maasbree,MAASBREE,municipality,6.069001554,51.35535824,7,10,15,NL.LI.MB,maasbree,gadm,shape,3,nl,,,,8020,,
113,Maastricht,MAASTRICHT,municipality,5.706453477,50.85333479,7,10,15,NL.LI.MA,maastricht,gadm,shape,3,nl,,,,9884,,
114,Margraten,MARGRATEN,municipality,5.802700277,50.80883937,7,10,15,NL.LI.MG,margraten,gadm,shape,3,nl,,,,9278,,
115,Meerlo-Wanssum,MEERLO-WANSSUM,municipality,6.102427361,51.51859092,7,10,15,NL.LI.MW,meerlo-wanssum,gadm,shape,3,nl,,,,6331,,
116,Meerssen,MEERSSEN,municipality,5.763832033,50.90458768,7,10,15,NL.LI.MS,meerssen,gadm,shape,3,nl,,,,4548,,
117,Meijel,MEIJEL,municipality,5.886418221,51.33788904,7,10,15,NL.LI.MJ,meijel,gadm,shape,3,nl,,,,3199,,
118,Mook en Middelaar,MOOK EN MIDDELAAR,municipality,5.90742451,51.74840868,7,10,15,NL.LI.MM,mook-en-middelaar,gadm,shape,3,nl,,,,3062,,
119,Nederweert,NEDERWEERT,municipality,5.781156891,51.29606352,7,10,15,NL.LI.NE,nederweert,gadm,shape,3,nl,,,,16299,,
120,Nuth,NUTH,municipality,5.868600354,50.90758818,7,10,15,NL.LI.NU,nuth,gadm,shape,3,nl,,,,5258,,
121,Onderbanken,ONDERBANKEN,municipality,5.969931438,50.97311941,7,10,15,NL.LI.ON,onderbanken,gadm,shape,3,nl,,,,3338,,
122,Roerdalen,ROERDALEN,municipality,6.101258232,51.16021853,7,10,15,NL.LI.RD,roerdalen,gadm,shape,3,nl,,,,6816,,
123,Roermond,ROERMOND,municipality,6.005925663,51.18898538,7,10,15,NL.LI.RM,roermond,gadm,shape,3,nl,,,,7341,,
124,Roggel en Neer,ROGGEL EN NEER,municipality,5.953925883,51.2786825,7,10,15,NL.LI.RN,roggel-en-neer,gadm,shape,3,nl,,,,6814,,
125,Schinnen,SCHINNEN,municipality,5.897040387,50.95370253,7,10,15,NL.LI.SC,schinnen,gadm,shape,3,nl,,,,4011,,
126,Sevenum,SEVENUM,municipality,6.002875496,51.40552386,7,10,15,NL.LI.SE,sevenum,gadm,shape,3,nl,,,,7781,,
127,Simpelveld,SIMPELVELD,municipality,5.995412539,50.83090053,7,10,15,NL.LI.SI,simpelveld,gadm,shape,3,nl,,,,2612,,
128,Sittard-Geleen,SITTARD-GELEEN,municipality,5.833098141,51.00860311,7,10,15,NL.LI.SG,sittard-geleen,gadm,shape,3,nl,,,,12888,,
130,Swalmen,SWALMEN,municipality,6.044809015,51.2295861,7,10,15,NL.LI.SW,swalmen,gadm,shape,3,nl,,,,3811,,
131,Thorn,THORN,municipality,5.856303545,51.16379384,7,10,15,NL.LI.TH,thorn,gadm,shape,3,nl,,,,1172,,
132,Vaals,VAALS,municipality,5.97183832,50.77311306,7,10,15,NL.LI.VA,vaals,gadm,shape,3,nl,,,,2243,,
133,Valkenburg aan de Geul,VALKENBURG AAN DE GEUL,municipality,5.832830895,50.86306476,7,10,15,NL.LI.VG,valkenburg-aan-de-geul,gadm,shape,3,nl,,,,5859,,
